Espacialidades,Taxa de atividade - 18 anos ou mais 2010,Taxa de desocupação - 18 anos ou mais 2010,% da população em domicílios com banheiro e água encanada 2010,% da população em domicílios com coleta de lixo 2010,% da população em domicílios com energia elétrica 2010,Esperança de vida ao nascer 2010,PEA - 18 anos ou mais 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Taxa de analfabetismo - 18 anos ou mais 2010,% de 18 anos ou mais com fundamental completo 2010,Renda per capita 2010,% de pobres 2010
Abadia dos Dourados (MG),65.97,3.78,98.18,98.03,98.55,75.35,3322,1.97,42.76,9.77,9.67,39.36,596.18,7.94
Abaeté (MG),65.9,4.38,97.43,98.42,99.92,75.9,11034,2.33,45.23,10.13,9.28,36.32,707.24,6.69
Abre Campo (MG),63.8,2.9,98.77,95.55,99.36,74.36,6016,1.87,49.53,9.92,13.1,31.69,444.32,23.33
Acaiaca (MG),57.71,20.77,99.59,99.28,99.83,74.36,1601,1.91,53.18,11.4,14.95,34.16,357.03,26.53
Açucena (MG),54.21,5.05,82.93,49.38,95.13,75.66,3810,2.11,60.26,12.08,21.44,27.12,325.42,30.7
Água Boa (MG),68.48,4.54,66.55,82.48,92.94,72.94,6473,2.43,63.09,7.96,30.15,24.73,322.12,31.79
Água Comprida (MG),69.81,2.5,99,99.87,100,76.58,1070,2.29,41.41,10.27,8.41,32.37,701.19,4.39
Aguanil (MG),64.85,5.04,99.42,99.11,100,75.7,1953,2.22,45.67,9.97,13.93,33.23,524.43,8.51
Águas Formosas (MG),65.49,7.48,84.4,96.82,97.39,73.63,8060,2.67,58.29,9.91,26.44,36.82,389.57,31.69
Águas Vermelhas (MG),54.85,6.5,81.92,97.75,98.45,73.46,4585,2.6,55.03,7.88,30.09,27.75,306.97,33.19
Aimorés (MG),61.54,7.19,97.46,96.41,99.96,73.58,11157,2.11,50.1,11.09,15.42,40.89,567.46,14.09
Aiuruoca (MG),68.45,3.29,99.18,99.76,98.59,77.23,3141,1.85,46.3,11.9,14.85,32.19,539.92,11.7
Alagoa (MG),64.49,3.54,98.34,98.19,99.23,74.93,1296,2.08,46.67,10.56,15.38,29.19,413.75,17.57
Albertina (MG),74.53,2.33,99.75,99.66,100,73.76,1582,1.83,46.31,9.85,12.67,34.92,564.08,3.02
Além Paraíba (MG),63.73,6.82,99.07,98.4,99.48,76.43,16202,2.04,46.28,10.35,6.69,51.65,674.5,9.22
